nodes,distance
"[6672539117, 6638972484]",4.504198
"[6672539117, 6638972484]",3.76848
"[6672539117, 6638972484]",3.665266
"[6672539117, 6638972484]",4.72489
"[6638972483, 977668052]",4.7106
"[6638972483, 977668052]",3.665266
"[6638972483, 977668052]",2.516924
"[6638972483, 977668052]",1.677949
"[6638972483, 977668052]",1.88424
"[6638972483, 977668052]",2.194249
"[6638972483, 977668052]",2.194249
"[6638972483, 977668052]",1.781048
"[6638972483, 977668052]",1.781048
"[6638972483, 977668052]",0.207909
"[6638972483, 977668052]",0.531434
"[6638972483, 103015212]",1.677949
"[5697995175, 103015212]",0.207909
"[5697995175, 103015212]",0.531434
"[5697995175, 103015212]",2.413917
"[5697995175, 103015212]",4.40105
"[5697995175, 103015212]",3.76848
"[5697995175, 103015212]",0.736057
"[5697995175, 103015212]",0.103955
"[5697995175, 103015212]",1.045426
"[5697995175, 103015212]",2.413917
"[5697995175, 103015212]",2.723153
"[5697995175, 103015212]",3.458971
"[6638972475, 5697995175]",3.76848
"[10164900220, 6638972475]",0.110712
"[6670874092, 6638972482]",1.88424
"[6670874092, 6638972482]",2.723153
"[6670874092, 6638972482]",1.369431
"[6670874092, 6638972482]",0.207909
"[6670874092, 6638972482]",1.88424
"[6670874092, 6638972482]",0.838975
"[6670874092, 6638972482]",0.0
"[6638972482, 6638972479]",2.090852
"[6638972482, 6638972479]",2.310995
"[6638972482, 6638972479]",2.413917
"[6638972482, 6638972479]",3.988876
"[6638954728, 6638954737]",4.29794
"[6638954728, 6638954737]",4.194873
"[6638954728, 6638954737]",2.516924
"[6638954728, 6638954737]",1.574963
"[6638954728, 6638954737]",1.045426
"[6638954737, 6638954736]",3.018004
"[6638954739, 6638954738]",0.891775
"[6638954739, 6670874095]",2.310995
"[6670874095, 6638954734]",2.413917
"[6638954734, 2290010718]",2.516924
"[6638954734, 2290010718]",2.620005
"[6638954742, 6670874094]",3.783088
"[6638954742, 6670874094]",1.045426
"[6638954742, 6670874094]",1.472114
"[6638954742, 6670874094]",1.045426
"[6638954742, 6670874094]",2.105456
"[6638954742, 6670874094]",2.413917
"[8299505445, 103020184]",11.765711
"[8299505445, 103020184]",14.233012
"[8299505445, 103020184]",11.524819
"[8299505445, 103020184]",12.698668
"[103020184, 6631814293]",6.830928
"[103020184, 6631814293]",0.799898
"[103020184, 6631814293]",0.471098
"[6631814293, 103017740]",8.106574
"[103017740, 6631814291]",10.791801
"[6631814291, 103017739]",7.994138
"[6631814291, 103017739]",3.725255
"[6631814291, 103017739]",1.689708
"[6631814291, 103017739]",1.235451
"[6631814291, 103017739]",2.361842
"[6631814291, 103017739]",3.597267
"[103020402, 103017739]",7.210436
"[103020402, 103017739]",2.591042
"[6670313709, 103017739]",7.213285
"[6670313707, 6670313708]",2.682419
"[6670313709, 6631814290]",4.505887
"[6670313709, 6631814290]",4.505887
